"TILE_ID","FILE_NAME","RELATIVE_PATH","SIZE_MB","N_FEATURES","DEPTH","SOURCE_GPKG","SOURCE_LAYER","LAYER_OUTPUT_DIR"
"rios_normalizada_disuelto_0001","rios_normalizada_disuelto_0001.gpkg","contexto_territorial/rios_normalizada_disuelto__tiles/tiles/rios_normalizada_disuelto_0001.gpkg",6.539,9846,0,"rios_normalizada_disuelto.gpkg","red_hidrografica_100_000_cenepred","contexto_territorial/rios_normalizada_disuelto__tiles"
"rios_normalizada_disuelto_0002","rios_normalizada_disuelto_0002.gpkg","contexto_territorial/rios_normalizada_disuelto__tiles/tiles/rios_normalizada_disuelto_0002.gpkg",32.766,46065,1,"rios_normalizada_disuelto.gpkg","red_hidrografica_100_000_cenepred","contexto_territorial/rios_normalizada_disuelto__tiles"
"rios_normalizada_disuelto_0003","rios_normalizada_disuelto_0003.gpkg","contexto_territorial/rios_normalizada_disuelto__tiles/tiles/rios_normalizada_disuelto_0003.gpkg",33.992,43823,1,"rios_normalizada_disuelto.gpkg","red_hidrografica_100_000_cenepred","contexto_territorial/rios_normalizada_disuelto__tiles"
"rios_normalizada_disuelto_0004","rios_normalizada_disuelto_0004.gpkg","contexto_territorial/rios_normalizada_disuelto__tiles/tiles/rios_normalizada_disuelto_0004.gpkg",2.918,2854,1,"rios_normalizada_disuelto.gpkg","red_hidrografica_100_000_cenepred","contexto_territorial/rios_normalizada_disuelto__tiles"
"rios_normalizada_disuelto_0005","rios_normalizada_disuelto_0005.gpkg","contexto_territorial/rios_normalizada_disuelto__tiles/tiles/rios_normalizada_disuelto_0005.gpkg",14.852,20833,1,"rios_normalizada_disuelto.gpkg","red_hidrografica_100_000_cenepred","contexto_territorial/rios_normalizada_disuelto__tiles"
"rios_normalizada_disuelto_0006","rios_normalizada_disuelto_0006.gpkg","contexto_territorial/rios_normalizada_disuelto__tiles/tiles/rios_normalizada_disuelto_0006.gpkg",33.348,44558,1,"rios_normalizada_disuelto.gpkg","red_hidrografica_100_000_cenepred","contexto_territorial/rios_normalizada_disuelto__tiles"
"rios_normalizada_disuelto_0007","rios_normalizada_disuelto_0007.gpkg","contexto_territorial/rios_normalizada_disuelto__tiles/tiles/rios_normalizada_disuelto_0007.gpkg",16.223,19531,1,"rios_normalizada_disuelto.gpkg","red_hidrografica_100_000_cenepred","contexto_territorial/rios_normalizada_disuelto__tiles"
"rios_normalizada_disuelto_0008","rios_normalizada_disuelto_0008.gpkg","contexto_territorial/rios_normalizada_disuelto__tiles/tiles/rios_normalizada_disuelto_0008.gpkg",22.684,33331,1,"rios_normalizada_disuelto.gpkg","red_hidrografica_100_000_cenepred","contexto_territorial/rios_normalizada_disuelto__tiles"
"rios_normalizada_disuelto_0009","rios_normalizada_disuelto_0009.gpkg","contexto_territorial/rios_normalizada_disuelto__tiles/tiles/rios_normalizada_disuelto_0009.gpkg",20.387,31390,1,"rios_normalizada_disuelto.gpkg","red_hidrografica_100_000_cenepred","contexto_territorial/rios_normalizada_disuelto__tiles"
"rios_normalizada_disuelto_0010","rios_normalizada_disuelto_0010.gpkg","contexto_territorial/rios_normalizada_disuelto__tiles/tiles/rios_normalizada_disuelto_0010.gpkg",46.07,53418,0,"rios_normalizada_disuelto.gpkg","red_hidrografica_100_000_cenepred","contexto_territorial/rios_normalizada_disuelto__tiles"
"rios_normalizada_disuelto_0011","rios_normalizada_disuelto_0011.gpkg","contexto_territorial/rios_normalizada_disuelto__tiles/tiles/rios_normalizada_disuelto_0011.gpkg",44.012,39331,0,"rios_normalizada_disuelto.gpkg","red_hidrografica_100_000_cenepred","contexto_territorial/rios_normalizada_disuelto__tiles"
"rios_normalizada_disuelto_0012","rios_normalizada_disuelto_0012.gpkg","contexto_territorial/rios_normalizada_disuelto__tiles/tiles/rios_normalizada_disuelto_0012.gpkg",5.266,3229,0,"rios_normalizada_disuelto.gpkg","red_hidrografica_100_000_cenepred","contexto_territorial/rios_normalizada_disuelto__tiles"
